"fold","rank","feature"
1,1,"204825_at"
1,2,"204750_s_at"
1,3,"215034_s_at"
1,4,"203702_s_at"
1,5,"210084_x_at"
1,6,"204822_at"
1,7,"210052_s_at"
1,8,"209387_s_at"
1,9,"204400_at"
1,10,"218726_at"
1,11,"205225_at"
1,12,"213134_x_at"
1,13,"202483_s_at"
1,14,"204962_s_at"
1,15,"208650_s_at"
1,16,"205548_s_at"
1,17,"203693_s_at"
1,18,"202134_s_at"
1,19,"220935_s_at"
1,20,"218259_at"
1,21,"217744_s_at"
1,22,"222275_at"
1,23,"200052_s_at"
1,24,"203038_at"
1,25,"217640_x_at"
1,26,"214428_x_at"
1,27,"209421_at"
1,28,"218755_at"
1,29,"221872_at"
1,30,"204315_s_at"
1,31,"209642_at"
1,32,"208451_s_at"
1,33,"219874_at"
1,34,"212956_at"
1,35,"222039_at"
1,36,"209604_s_at"
1,37,"209386_at"
1,38,"203418_at"
1,39,"201755_at"
1,40,"216237_s_at"
1,41,"204751_x_at"
1,42,"209623_at"
1,43,"209680_s_at"
1,44,"206392_s_at"
1,45,"203999_at"
1,46,"218542_at"
1,47,"209747_at"
1,48,"214431_at"
1,49,"202240_at"
1,50,"209204_at"
1,51,"202263_at"
1,52,"216092_s_at"
1,53,"202870_s_at"
1,54,"212099_at"
1,55,"209122_at"
1,56,"204775_at"
1,57,"218902_at"
1,58,"266_s_at"
1,59,"213476_x_at"
1,60,"216603_at"
1,61,"221986_s_at"
1,62,"219051_x_at"
1,63,"222118_at"
1,64,"209772_s_at"
1,65,"201663_s_at"
1,66,"209832_s_at"
1,67,"203397_s_at"
1,68,"201555_at"
1,69,"210074_at"
1,70,"204203_at"
1,71,"205394_at"
1,72,"218211_s_at"
1,73,"220892_s_at"
1,74,"219197_s_at"
1,75,"210024_s_at"
1,76,"209289_at"
1,77,"220238_s_at"
1,78,"205696_s_at"
1,79,"206023_at"
1,80,"212960_at"
1,81,"221864_at"
1,82,"218532_s_at"
1,83,"206373_at"
1,84,"221934_s_at"
1,85,"214440_at"
1,86,"209464_at"
1,87,"206391_at"
1,88,"217924_at"
1,89,"200783_s_at"
1,90,"209408_at"
1,91,"202933_s_at"
1,92,"213032_at"
1,93,"208854_s_at"
1,94,"212419_at"
1,95,"209114_at"
1,96,"206102_at"
1,97,"201088_at"
1,98,"200934_at"
1,99,"219752_at"
1,100,"202808_at"
2,1,"208022_s_at"
2,2,"204750_s_at"
2,3,"210084_x_at"
2,4,"205225_at"
2,5,"203999_at"
2,6,"221524_s_at"
2,7,"205548_s_at"
2,8,"213134_x_at"
2,9,"204825_at"
2,10,"209289_at"
2,11,"209204_at"
2,12,"205696_s_at"
2,13,"203038_at"
2,14,"212960_at"
2,15,"213032_at"
2,16,"209290_s_at"
2,17,"214440_at"
2,18,"219051_x_at"
2,19,"204400_at"
2,20,"212956_at"
2,21,"212099_at"
2,22,"213029_at"
2,23,"202933_s_at"
2,24,"218211_s_at"
2,25,"201231_s_at"
2,26,"216092_s_at"
2,27,"221986_s_at"
2,28,"210735_s_at"
2,29,"212492_s_at"
2,30,"206392_s_at"
2,31,"222275_at"
2,32,"221872_at"
2,33,"206391_at"
2,34,"204775_at"
2,35,"209604_s_at"
2,36,"200718_s_at"
2,37,"204822_at"
2,38,"214431_at"
2,39,"221203_s_at"
2,40,"203693_s_at"
2,41,"203030_s_at"
2,42,"203963_at"
2,43,"210052_s_at"
2,44,"205074_at"
2,45,"202870_s_at"
2,46,"205379_at"
2,47,"204623_at"
2,48,"214164_x_at"
2,49,"202341_s_at"
2,50,"206373_at"
2,51,"214053_at"
2,52,"218259_at"
2,53,"209623_at"
2,54,"218902_at"
2,55,"217744_s_at"
2,56,"215867_x_at"
2,57,"214109_at"
2,58,"201938_at"
2,59,"205347_s_at"
2,60,"202932_at"
2,61,"209644_x_at"
2,62,"219752_at"
2,63,"206754_s_at"
2,64,"222158_s_at"
2,65,"218236_s_at"
2,66,"209122_at"
2,67,"218532_s_at"
2,68,"212265_at"
