"metric","value"
"n_outer_folds","5"
"top_k_per_fold","100"
"feature_universe_size","22283"
"total_unique_features","222"
"features_selected_in_all_folds","28"
"features_selected_in_single_fold","102"
"mean_pairwise_jaccard","0.3734"
"median_pairwise_jaccard","0.3699"
"nogueira_stability_index","0.5409"
"top_recurrent_01","202870_s_at (5/5)"
"top_recurrent_02","203693_s_at (5/5)"
"top_recurrent_03","203702_s_at (5/5)"
"top_recurrent_04","203999_at (5/5)"
"top_recurrent_05","204750_s_at (5/5)"
"top_recurrent_06","204822_at (5/5)"
"top_recurrent_07","204825_at (5/5)"
"top_recurrent_08","205225_at (5/5)"
"top_recurrent_09","205548_s_at (5/5)"
"top_recurrent_10","206373_at (5/5)"
"top_recurrent_11","206392_s_at (5/5)"
"top_recurrent_12","209204_at (5/5)"
"top_recurrent_13","209289_at (5/5)"
"top_recurrent_14","209604_s_at (5/5)"
"top_recurrent_15","210052_s_at (5/5)"
