"seed","is_anchor","nogueira_stability","mean_jaccard","median_jaccard","total_unique_features","stable_core_count","unstable_tail_count","top_k","n_outer_folds","feature_universe"
20260620,TRUE,0.540939863859712,0.373448278152531,0.36986301369863,222,28,102,100,5,22283
20260621,FALSE,0.531899292250822,0.365965494611971,0.346816615272991,229,30,110,100,5,22283
20260622,FALSE,0.545962403642428,0.378470303150421,0.374586679263108,225,29,113,100,5,22283
20260623,FALSE,0.549980435468602,0.383077402642289,0.374586679263108,217,28,95,100,5,22283
20260624,FALSE,0.532903800207366,0.366707467593956,0.37937595129376,227,23,114,100,5,22283
20260625,FALSE,0.531899292250823,0.365868294828999,0.360607182524991,229,30,111,100,5,22283
20260626,FALSE,0.515827164946129,0.351396956238664,0.355947784519213,232,25,115,100,5,22283
20260627,FALSE,0.577102150295271,0.408330171393861,0.408520557456728,204,32,75,100,5,22283
20260628,FALSE,0.560025515034035,0.392732053006613,0.384099616858238,219,30,104,100,5,22283
20260629,FALSE,0.546966911598972,0.378986481020933,0.388955871714492,222,27,106,100,5,22283
20260630,FALSE,0.59518329351305,0.427718370464338,0.423505572441743,204,30,88,100,5,22283
20260631,FALSE,0.539935355903169,0.373577378410087,0.384497460956214,220,25,100,100,5,22283
20260632,FALSE,0.541944371816256,0.374725435812618,0.369927281257331,221,31,99,100,5,22283
20260633,FALSE,0.587147229860704,0.418056058363061,0.41851106639839,203,30,80,100,5,22283
20260634,FALSE,0.489709958076004,0.327759454259378,0.324503311258278,239,24,119,100,5,22283
20260635,FALSE,0.534912816120452,0.368637826530404,0.351351351351351,227,28,109,100,5,22283
20260636,FALSE,0.551989451381688,0.384621951611302,0.374586679263108,221,30,107,100,5,22283
20260637,FALSE,0.552993959338232,0.389144431134724,0.413445210268704,216,26,96,100,5,22283
20260638,FALSE,0.565048054816751,0.396880346272666,0.393745143745144,217,33,98,100,5,22283
20260639,FALSE,0.502768561511066,0.338752678986642,0.337807606263982,239,27,121,100,5,22283
20260640,FALSE,0.550984943425145,0.383666034857762,0.393745143745144,226,33,118,100,5,22283
20260641,FALSE,0.565048054816751,0.397449027908593,0.393745143745144,214,32,94,100,5,22283
20260642,FALSE,0.531899292250823,0.365070040361599,0.365203615692852,228,28,112,100,5,22283
20260643,FALSE,0.563039038903665,0.395021572881597,0.393745143745144,219,31,103,100,5,22283
20260644,FALSE,0.549980435468602,0.381835103361522,0.37937595129376,228,35,116,100,5,22283
20260645,FALSE,0.574088626425641,0.405365038090325,0.41851106639839,213,32,97,100,5,22283
20260646,FALSE,0.565048054816751,0.39794058512338,0.398601398601399,214,30,93,100,5,22283
20260647,FALSE,0.566052562773295,0.399712738790146,0.403526051413375,217,30,103,100,5,22283
20260648,FALSE,0.515827164946129,0.351686716858248,0.360796112011109,235,25,123,100,5,22283
20260649,FALSE,0.557011991164405,0.388437306845013,0.398669796557121,215,30,92,100,5,22283
