cohort,pipeline,metric,point,ci_lo,ci_hi,n_boot,method
GSE25055,A_leaky_baseline,auroc,0.7705,0.7106,0.8242,2000,stratified percentile bootstrap
GSE25055,A_leaky_baseline,pr_auc,0.4016,0.3329,0.4969,2000,stratified percentile bootstrap
GSE25055,A_leaky_baseline,balanced_accuracy,0.5546,0.5248,0.5861,2000,stratified percentile bootstrap
GSE25055,A_leaky_baseline,mcc,0.2064,0.1047,0.298,2000,stratified percentile bootstrap
GSE25055,A_leaky_baseline,sensitivity,0.1333,0.0737,0.1965,2000,stratified percentile bootstrap
GSE25055,A_leaky_baseline,specificity,0.9759,0.9639,0.9863,2000,stratified percentile bootstrap
GSE25055,B_guarded_nested,auroc,0.7265,0.6532,0.791,2000,stratified percentile bootstrap
GSE25055,B_guarded_nested,pr_auc,0.3653,0.281,0.4715,2000,stratified percentile bootstrap
GSE25055,B_guarded_nested,balanced_accuracy,0.5792,0.5265,0.6331,2000,stratified percentile bootstrap
GSE25055,B_guarded_nested,mcc,0.225,0.0745,0.36,2000,stratified percentile bootstrap
GSE25055,B_guarded_nested,sensitivity,0.2105,0.1053,0.3158,2000,stratified percentile bootstrap
GSE25055,B_guarded_nested,specificity,0.9478,0.9157,0.9719,2000,stratified percentile bootstrap
GSE25065,B_guarded_nested_external,auroc,0.6078,0.5061,0.7,2000,stratified percentile bootstrap
GSE25065,B_guarded_nested_external,pr_auc,0.3044,0.2356,0.4279,2000,stratified percentile bootstrap
GSE25065,B_guarded_nested_external,balanced_accuracy,0.5381,0.4905,0.5905,2000,stratified percentile bootstrap
GSE25065,B_guarded_nested_external,mcc,0.1347,-0.0319,0.3039,2000,stratified percentile bootstrap
GSE25065,B_guarded_nested_external,sensitivity,0.119,0.0238,0.2143,2000,stratified percentile bootstrap
GSE25065,B_guarded_nested_external,specificity,0.9571,0.9214,0.9857,2000,stratified percentile bootstrap
